PHASE B TABLES (datapoints used in plots)
CSV: sweep_phaseB.csv

Aggregation note: NaN values are excluded from means/min/max and from n.

This version keeps only the thesis-useful tables and removes low-value/redundant plot summaries.

==========================================================================================
TABLE: K_vs_nusers

n_users  | series               | mean         | std          | min        | max        | n  
2250     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
2500     | A0 pure+split        | 0.2          | 0.4          | 0.0        | 1.0        | 5  
2500     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
2500     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
2500     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
2750     | A0 pure+split        | 0.2          | 0.4          | 0.0        | 1.0        | 5  
2750     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
2750     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
2750     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
3000     | A0 pure+split        | 0.4          | 0.48989794855663565 | 0.0        | 1.0        | 5  
3000     | A1 bal+split         | 0.8          | 0.4000000000000001 | 0.0        | 1.0        | 5  
3000     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
3000     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
3500     | A0 pure+split        | 0.2          | 0.4          | 0.0        | 1.0        | 5  
3500     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
3500     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
3500     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
4000     | A0 pure+split        | 0.2          | 0.4000000000000001 | 0.0        | 1.0        | 5  
4000     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
4000     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
4000     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
4500     | A0 pure+split        | 0.2          | 0.4000000000000001 | 0.0        | 1.0        | 5  
4500     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
4500     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
4500     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
5000     | A0 pure+split        | 0.0          | 0.0          | 0.0        | 0.0        | 5  
5000     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
5000     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
5000     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
5500     | A0 pure+split        | 0.0          | 0.0          | 0.0        | 0.0        | 5  
5500     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
5500     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
5500     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
6000     | A0 pure+split        | 0.0          | 0.0          | 0.0        | 0.0        | 5  
6000     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
6000     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
6000     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
6500     | A0 pure+split        | 0.0          | 0.0          | 0.0        | 0.0        | 5  
6500     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
6500     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
6500     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
7000     | A0 pure+split        | 0.0          | 0.0          | 0.0        | 0.0        | 5  
7000     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
7000     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
7000     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  
7500     | A0 pure+split        | 0.0          | 0.0          | 0.0        | 0.0        | 5  
7500     | A1 bal+split         | 1.0          | 0.0          | 1.0        | 1.0        | 5  
7500     | A2 bal+split+qos     | 1.0          | 0.0          | 1.0        | 1.0        | 5  
7500     | A3 bal+split+qos+lb  | 1.0          | 0.0          | 1.0        | 1.0        | 5  

==========================================================================================
TABLE: ablation_K_vs_nusers

n_users  | series               | mean         | std          | min        | max        | n  
---------------------------------------------------------------------------------------------
50       | A0 pure+split        | 32.4         | 2.8000000000000003 | 27.0       | 35.0       | 5  
50       | A1 bal+split         | 32.4         | 2.8000000000000003 | 27.0       | 35.0       | 5  
50       | A2 bal+split+qos     | 32.4         | 2.8000000000000003 | 27.0       | 35.0       | 5  
50       | A3 bal+split+qos+lb  | 32.4         | 2.8000000000000003 | 27.0       | 35.0       | 5  
100      | A0 pure+split        | 55.6         | 3.7735924528226414 | 49.0       | 59.0       | 5  
100      | A1 bal+split         | 55.6         | 3.7735924528226414 | 49.0       | 59.0       | 5  
100      | A2 bal+split+qos     | 55.6         | 3.7735924528226414 | 49.0       | 59.0       | 5  
100      | A3 bal+split+qos+lb  | 55.6         | 3.7735924528226414 | 49.0       | 59.0       | 5  
